Generation,Agent Count,Mutation Rate,Best fitness,Avg. Fitness,Max. step count,Finished count
342,100,0.02,0.03326474,0.02425140,600,0
343,100,0.02,9.16326500,1.26927200,600,15
344,100,0.02,0.01797088,0.01790106,600,0
345,100,0.02,0.09397277,0.09397278,600,0
346,100,0.02,1.46913100,0.24320080,600,3
347,100,0.02,0.02079343,0.02064674,600,0
348,100,0.02,0.01448063,0.01447783,600,0
349,100,0.02,0.10171730,0.10078250,600,0
350,100,0.02,2.10837500,0.22990150,600,5
351,100,0.02,1.60092500,0.46209470,600,4
352,100,0.02,0.03249880,0.03218301,600,0
353,100,0.02,0.04276658,0.04229887,600,0
354,100,0.02,0.11079590,0.10302410,600,0
355,100,0.02,0.02903736,0.02903102,600,0
356,100,0.02,0.04860815,0.04779911,600,0
357,100,0.02,0.04752430,0.04358176,600,0
358,100,0.02,0.02099099,0.02099098,600,0
359,100,0.02,0.05356268,0.05356265,600,0
360,100,0.02,0.04898367,0.04238902,600,0
361,100,0.02,0.06657867,0.06651437,600,0
362,100,0.02,0.05373382,0.05325216,600,0
363,100,0.02,0.07911137,0.07278848,600,0
364,100,0.02,0.07481818,0.06635763,600,0
365,100,0.02,4.42935500,3.99624000,600,91
366,100,0.02,0.02677020,0.02660108,600,0
367,100,0.02,0.04297607,0.04273542,600,0
368,100,0.02,3.75206800,1.89499500,600,83
369,100,0.02,0.10292790,0.06579944,600,0
370,100,0.02,0.00974886,0.00966522,600,0
371,100,0.02,0.09826846,0.05724255,600,0
372,100,0.02,1.60092500,1.23836500,600,91
373,100,0.02,1.78314700,1.30373300,600,91
374,100,0.02,0.01448063,0.01439458,600,0
375,100,0.02,0.03396508,0.01140684,600,0
376,100,0.02,1.54869700,0.12452380,600,8
377,100,0.02,0.09826906,0.03456424,600,0
378,100,0.02,0.01071343,0.01065468,600,0
379,100,0.02,0.01448063,0.01437124,600,0
380,100,0.02,0.01794327,0.01793963,600,0
381,100,0.02,2501.00000000,2501.00000000,600,100
382,100,0.02,0.06414734,0.05955452,600,0
383,100,0.02,0.03208967,0.03173231,600,0
384,100,0.02,0.20850210,0.19305720,600,0
385,100,0.02,1.66098200,1.26223400,600,82
386,100,0.02,0.09420807,0.08506034,600,0
387,100,0.02,0.10951570,0.09770273,600,0
388,100,0.02,0.01074151,0.01062435,600,0
389,100,0.02,2.45159000,1.54362000,600,78
390,100,0.02,1.42165600,1.25472200,600,90
391,100,0.02,0.01894676,0.01766994,600,0
392,100,0.02,0.09826934,0.09122423,600,0
393,100,0.02,0.02020272,0.01895638,600,0
394,100,0.02,0.20849460,0.18010140,600,0
395,100,0.02,6.16528900,4.40193400,600,88
396,100,0.02,0.04860815,0.04706916,600,0
397,100,0.02,1.55691700,0.09640192,600,3
398,100,0.02,0.01742177,0.01681231,600,0
399,100,0.02,19.90359000,18.36209000,600,92
400,100,0.02,2.23456800,0.16627650,600,7
